sim,type,true_ate,run,j,n,d
33,none,-0.4,33,1,500,ls
33,shrunk,-0.4,33,1,500,ls
34,raw,-0.4,34,1,500,ls
34,raw,-0.4,34,1,500,ls
34,raw,-0.4,34,1,500,ls
34,raw,-0.4,34,1,500,ls
34,old,-0.4,34,1,500,ls
34,boot,-0.4,34,1,500,ls
34,all_boot,-0.4,34,1,500,ls
34,null,-0.4,34,1,500,ls
34,gn,-0.4,34,1,500,ls
34,hybrid_gn,-0.4,34,1,500,ls
34,none,-0.4,34,1,500,ls
34,shrunk,-0.4,34,1,500,ls
35,raw,-0.4,35,1,500,ls
35,raw,-0.4,35,1,500,ls
35,raw,-0.4,35,1,500,ls
35,raw,-0.4,35,1,500,ls
35,old,-0.4,35,1,500,ls
35,boot,-0.4,35,1,500,ls
35,all_boot,-0.4,35,1,500,ls
35,null,-0.4,35,1,500,ls
35,gn,-0.4,35,1,500,ls
35,hybrid_gn,-0.4,35,1,500,ls
35,none,-0.4,35,1,500,ls
35,shrunk,-0.4,35,1,500,ls
36,raw,-0.4,36,1,500,ls
36,raw,-0.4,36,1,500,ls
36,raw,-0.4,36,1,500,ls
36,raw,-0.4,36,1,500,ls
36,old,-0.4,36,1,500,ls
36,boot,-0.4,36,1,500,ls
36,all_boot,-0.4,36,1,500,ls
36,null,-0.4,36,1,500,ls
36,gn,-0.4,36,1,500,ls
36,hybrid_gn,-0.4,36,1,500,ls
36,none,-0.4,36,1,500,ls
36,shrunk,-0.4,36,1,500,ls
37,raw,-0.4,37,1,500,ls
37,raw,-0.4,37,1,500,ls
37,raw,-0.4,37,1,500,ls
37,raw,-0.4,37,1,500,ls
37,old,-0.4,37,1,500,ls
37,boot,-0.4,37,1,500,ls
37,all_boot,-0.4,37,1,500,ls
37,null,-0.4,37,1,500,ls
37,gn,-0.4,37,1,500,ls
37,hybrid_gn,-0.4,37,1,500,ls
37,none,-0.4,37,1,500,ls
37,shrunk,-0.4,37,1,500,ls
38,raw,-0.4,38,1,500,ls
38,raw,-0.4,38,1,500,ls
38,raw,-0.4,38,1,500,ls
38,raw,-0.4,38,1,500,ls
38,old,-0.4,38,1,500,ls
38,boot,-0.4,38,1,500,ls
38,all_boot,-0.4,38,1,500,ls
38,null,-0.4,38,1,500,ls
38,gn,-0.4,38,1,500,ls
38,hybrid_gn,-0.4,38,1,500,ls
38,none,-0.4,38,1,500,ls
38,shrunk,-0.4,38,1,500,ls
39,raw,-0.4,39,1,500,ls
39,raw,-0.4,39,1,500,ls
39,raw,-0.4,39,1,500,ls
39,raw,-0.4,39,1,500,ls
39,old,-0.4,39,1,500,ls
39,boot,-0.4,39,1,500,ls
39,all_boot,-0.4,39,1,500,ls
39,null,-0.4,39,1,500,ls
39,gn,-0.4,39,1,500,ls
39,hybrid_gn,-0.4,39,1,500,ls
39,none,-0.4,39,1,500,ls
39,shrunk,-0.4,39,1,500,ls
40,raw,-0.4,40,1,500,ls
40,raw,-0.4,40,1,500,ls
40,raw,-0.4,40,1,500,ls
40,raw,-0.4,40,1,500,ls
40,old,-0.4,40,1,500,ls
40,boot,-0.4,40,1,500,ls
40,all_boot,-0.4,40,1,500,ls
40,null,-0.4,40,1,500,ls
40,gn,-0.4,40,1,500,ls
40,hybrid_gn,-0.4,40,1,500,ls
40,none,-0.4,40,1,500,ls
40,shrunk,-0.4,40,1,500,ls
41,raw,-0.4,41,1,500,ls
41,raw,-0.4,41,1,500,ls
41,raw,-0.4,41,1,500,ls
41,raw,-0.4,41,1,500,ls
41,old,-0.4,41,1,500,ls
41,boot,-0.4,41,1,500,ls
41,all_boot,-0.4,41,1,500,ls
41,null,-0.4,41,1,500,ls
41,gn,-0.4,41,1,500,ls
41,hybrid_gn,-0.4,41,1,500,ls
41,none,-0.4,41,1,500,ls
41,shrunk,-0.4,41,1,500,ls
42,raw,-0.4,42,1,500,ls
42,raw,-0.4,42,1,500,ls
42,raw,-0.4,42,1,500,ls
42,raw,-0.4,42,1,500,ls
42,old,-0.4,42,1,500,ls
42,boot,-0.4,42,1,500,ls
42,all_boot,-0.4,42,1,500,ls
42,null,-0.4,42,1,500,ls
42,gn,-0.4,42,1,500,ls
42,hybrid_gn,-0.4,42,1,500,ls
42,none,-0.4,42,1,500,ls
42,shrunk,-0.4,42,1,500,ls
43,raw,-0.4,43,1,500,ls
43,raw,-0.4,43,1,500,ls
43,raw,-0.4,43,1,500,ls
43,raw,-0.4,43,1,500,ls
43,old,-0.4,43,1,500,ls
43,boot,-0.4,43,1,500,ls
43,all_boot,-0.4,43,1,500,ls
43,null,-0.4,43,1,500,ls
43,gn,-0.4,43,1,500,ls
43,hybrid_gn,-0.4,43,1,500,ls
43,none,-0.4,43,1,500,ls
43,shrunk,-0.4,43,1,500,ls
44,raw,-0.4,44,1,500,ls
44,raw,-0.4,44,1,500,ls
44,raw,-0.4,44,1,500,ls
44,raw,-0.4,44,1,500,ls
44,old,-0.4,44,1,500,ls
44,boot,-0.4,44,1,500,ls
44,all_boot,-0.4,44,1,500,ls
44,null,-0.4,44,1,500,ls
44,gn,-0.4,44,1,500,ls
44,hybrid_gn,-0.4,44,1,500,ls
44,none,-0.4,44,1,500,ls
44,shrunk,-0.4,44,1,500,ls
45,raw,-0.4,45,1,500,ls
45,raw,-0.4,45,1,500,ls
45,raw,-0.4,45,1,500,ls
45,raw,-0.4,45,1,500,ls
45,old,-0.4,45,1,500,ls
45,boot,-0.4,45,1,500,ls
45,all_boot,-0.4,45,1,500,ls
45,null,-0.4,45,1,500,ls
45,gn,-0.4,45,1,500,ls
45,hybrid_gn,-0.4,45,1,500,ls
45,none,-0.4,45,1,500,ls
45,shrunk,-0.4,45,1,500,ls
46,raw,-0.4,46,1,500,ls
46,raw,-0.4,46,1,500,ls
46,raw,-0.4,46,1,500,ls
46,raw,-0.4,46,1,500,ls
46,old,-0.4,46,1,500,ls
46,boot,-0.4,46,1,500,ls
46,all_boot,-0.4,46,1,500,ls
46,null,-0.4,46,1,500,ls
46,gn,-0.4,46,1,500,ls
46,hybrid_gn,-0.4,46,1,500,ls
46,none,-0.4,46,1,500,ls
46,shrunk,-0.4,46,1,500,ls
47,raw,-0.4,47,1,500,ls
47,raw,-0.4,47,1,500,ls
47,raw,-0.4,47,1,500,ls
47,raw,-0.4,47,1,500,ls
47,old,-0.4,47,1,500,ls
47,boot,-0.4,47,1,500,ls
47,all_boot,-0.4,47,1,500,ls
47,null,-0.4,47,1,500,ls
47,gn,-0.4,47,1,500,ls
47,hybrid_gn,-0.4,47,1,500,ls
47,none,-0.4,47,1,500,ls
47,shrunk,-0.4,47,1,500,ls
48,raw,-0.4,48,1,500,ls
48,raw,-0.4,48,1,500,ls
48,raw,-0.4,48,1,500,ls
48,raw,-0.4,48,1,500,ls
48,old,-0.4,48,1,500,ls
48,boot,-0.4,48,1,500,ls
48,all_boot,-0.4,48,1,500,ls
48,null,-0.4,48,1,500,ls
48,gn,-0.4,48,1,500,ls
48,hybrid_gn,-0.4,48,1,500,ls
48,none,-0.4,48,1,500,ls
48,shrunk,-0.4,48,1,500,ls
49,raw,-0.4,49,1,500,ls
49,raw,-0.4,49,1,500,ls
49,raw,-0.4,49,1,500,ls
49,raw,-0.4,49,1,500,ls
49,old,-0.4,49,1,500,ls
49,boot,-0.4,49,1,500,ls
49,all_boot,-0.4,49,1,500,ls
49,null,-0.4,49,1,500,ls
49,gn,-0.4,49,1,500,ls
49,hybrid_gn,-0.4,49,1,500,ls
49,none,-0.4,49,1,500,ls
49,shrunk,-0.4,49,1,500,ls
50,raw,-0.4,50,1,500,ls
50,raw,-0.4,50,1,500,ls
50,raw,-0.4,50,1,500,ls
50,raw,-0.4,50,1,500,ls
50,old,-0.4,50,1,500,ls
50,boot,-0.4,50,1,500,ls
50,all_boot,-0.4,50,1,500,ls
50,null,-0.4,50,1,500,ls
50,gn,-0.4,50,1,500,ls
50,hybrid_gn,-0.4,50,1,500,ls
50,none,-0.4,50,1,500,ls
50,shrunk,-0.4,50,1,500,ls
51,raw,-0.4,51,1,500,ls
51,raw,-0.4,51,1,500,ls
51,raw,-0.4,51,1,500,ls
51,raw,-0.4,51,1,500,ls
51,old,-0.4,51,1,500,ls
51,boot,-0.4,51,1,500,ls
51,all_boot,-0.4,51,1,500,ls
51,null,-0.4,51,1,500,ls
51,gn,-0.4,51,1,500,ls
51,hybrid_gn,-0.4,51,1,500,ls
51,none,-0.4,51,1,500,ls
51,shrunk,-0.4,51,1,500,ls
52,raw,-0.4,52,1,500,ls
52,raw,-0.4,52,1,500,ls
52,raw,-0.4,52,1,500,ls
52,raw,-0.4,52,1,500,ls
52,old,-0.4,52,1,500,ls
52,boot,-0.4,52,1,500,ls
52,all_boot,-0.4,52,1,500,ls
52,null,-0.4,52,1,500,ls
52,gn,-0.4,52,1,500,ls
52,hybrid_gn,-0.4,52,1,500,ls
52,none,-0.4,52,1,500,ls
52,shrunk,-0.4,52,1,500,ls
53,raw,-0.4,53,1,500,ls
53,raw,-0.4,53,1,500,ls
53,raw,-0.4,53,1,500,ls
53,raw,-0.4,53,1,500,ls
53,old,-0.4,53,1,500,ls
53,boot,-0.4,53,1,500,ls
53,all_boot,-0.4,53,1,500,ls
53,null,-0.4,53,1,500,ls
53,gn,-0.4,53,1,500,ls
53,hybrid_gn,-0.4,53,1,500,ls
53,none,-0.4,53,1,500,ls
53,shrunk,-0.4,53,1,500,ls
54,raw,-0.4,54,1,500,ls
54,raw,-0.4,54,1,500,ls
54,raw,-0.4,54,1,500,ls
54,raw,-0.4,54,1,500,ls
54,old,-0.4,54,1,500,ls
54,boot,-0.4,54,1,500,ls
54,all_boot,-0.4,54,1,500,ls
54,null,-0.4,54,1,500,ls
54,gn,-0.4,54,1,500,ls
54,hybrid_gn,-0.4,54,1,500,ls
54,none,-0.4,54,1,500,ls
54,shrunk,-0.4,54,1,500,ls
55,raw,-0.4,55,1,500,ls
55,raw,-0.4,55,1,500,ls
55,raw,-0.4,55,1,500,ls
55,raw,-0.4,55,1,500,ls
55,old,-0.4,55,1,500,ls
55,boot,-0.4,55,1,500,ls
55,all_boot,-0.4,55,1,500,ls
55,null,-0.4,55,1,500,ls
55,gn,-0.4,55,1,500,ls
55,hybrid_gn,-0.4,55,1,500,ls
55,none,-0.4,55,1,500,ls
55,shrunk,-0.4,55,1,500,ls
56,raw,-0.4,56,1,500,ls
56,raw,-0.4,56,1,500,ls
56,raw,-0.4,56,1,500,ls
56,raw,-0.4,56,1,500,ls
56,old,-0.4,56,1,500,ls
56,boot,-0.4,56,1,500,ls
56,all_boot,-0.4,56,1,500,ls
56,null,-0.4,56,1,500,ls
56,gn,-0.4,56,1,500,ls
56,hybrid_gn,-0.4,56,1,500,ls
56,none,-0.4,56,1,500,ls
56,shrunk,-0.4,56,1,500,ls
57,raw,-0.4,57,1,500,ls
57,raw,-0.4,57,1,500,ls
57,raw,-0.4,57,1,500,ls
57,raw,-0.4,57,1,500,ls
57,old,-0.4,57,1,500,ls
57,boot,-0.4,57,1,500,ls
57,all_boot,-0.4,57,1,500,ls
57,null,-0.4,57,1,500,ls
57,gn,-0.4,57,1,500,ls
57,hybrid_gn,-0.4,57,1,500,ls
57,none,-0.4,57,1,500,ls
57,shrunk,-0.4,57,1,500,ls
58,raw,-0.4,58,1,500,ls
58,raw,-0.4,58,1,500,ls
58,raw,-0.4,58,1,500,ls
58,raw,-0.4,58,1,500,ls
58,old,-0.4,58,1,500,ls
58,boot,-0.4,58,1,500,ls
58,all_boot,-0.4,58,1,500,ls
58,null,-0.4,58,1,500,ls
58,gn,-0.4,58,1,500,ls
58,hybrid_gn,-0.4,58,1,500,ls
58,none,-0.4,58,1,500,ls
58,shrunk,-0.4,58,1,500,ls
59,raw,-0.4,59,1,500,ls
59,raw,-0.4,59,1,500,ls
59,raw,-0.4,59,1,500,ls
59,raw,-0.4,59,1,500,ls
59,old,-0.4,59,1,500,ls
59,boot,-0.4,59,1,500,ls
59,all_boot,-0.4,59,1,500,ls
59,null,-0.4,59,1,500,ls
59,gn,-0.4,59,1,500,ls
59,hybrid_gn,-0.4,59,1,500,ls
59,none,-0.4,59,1,500,ls
59,shrunk,-0.4,59,1,500,ls
60,raw,-0.4,60,1,500,ls
60,raw,-0.4,60,1,500,ls
60,raw,-0.4,60,1,500,ls
60,raw,-0.4,60,1,500,ls
60,old,-0.4,60,1,500,ls
60,boot,-0.4,60,1,500,ls
60,all_boot,-0.4,60,1,500,ls
60,null,-0.4,60,1,500,ls
